Número de averías: 30
Distancia solucion: 472.0
Recorrido: 
1377 9.145775376945272 C3A7
70 9.101781389619175 C1A15
1443 7.402439710990332 A15C18
3255 9.364112774032192 A13C18
2201 8.206456745160116 A10C16
488 9.9145838854676 C15A8
918 9.081075058419446 C9A10
3093 9.983710575068859 A10C7
1929 7.512050553932249 A4C5
3557 7.484215724231569 A2C7
2073 5.179682229892484 C8A6
1632 4.16942158495439 A5C5
655 4.620833749512876 C2A4
2905 4.892454740074729 C3A8
877 4.586154221138129 C3A8
2813 3.7189361101155973 C5A12
3917 3.523949819222847 C17A18
3461 4.660592148299043 A11C16
2528 3.652415428483836 A1C11
3942 3.684904453666904 A1C5
4235 1.3388100108526062 C11A3
2251 1.656457165270421 A4C17
1122 1.262937489371449 C16A6
642 1.1061401160897388 A8C15
3805 1.4723475994357789 A9C12
2412 1.7066037996336152 C13A11
4211 1.8265219749486692 C19A12
3314 0.6048031813259704 C11A15
1195 1.174663390060488 C1A20
2489 0.7943032814278115 A16C1
