Número de averías: 24
Distancia solucion: 454.0
Recorrido: 
823 9.135522393202924 A11C2
2852 8.299391275782567 A18C2
2453 8.94734111756232 A15C6
983 9.872211214078517 C11A13
1961 7.9853673243587115 A13C17
3450 9.4163396216142 A7C20
4018 9.963628411794003 A3C19
337 7.880132102995822 A5C16
355 5.016277268695642 C14A4
3861 4.63292224574632 C3A4
1244 4.773024031045944 A9C6
455 5.240187464130254 C7A11
1671 4.058693917992067 C3A13
1908 4.788766624356524 A16C8
508 3.777215405900169 A17C20
1099 4.048209629037919 A11C18
2710 0.9946675355879433 C17A2
2285 1.600080669293016 A2C18
1428 2.044872662879694 A15C20
2065 0.5746187066398726 A12C12
150 0.9448669174681792 C7A12
414 1.0422540287677804 C7A19
2572 2.131895527559255 A19C3
639 2.024408268733363 C4A14
