Número de averías: 42
Distancia solucion: 430.0
Recorrido: 
330 7.752369015637973 A6C5
847 9.758705732205739 A6C10
753 9.736275294007376 C13A4
1433 8.9170131040244 C12A1
489 8.032917127598344 A3C14
1183 8.306813421507638 A2C15
591 7.570962972626487 C15A1
298 7.917468211030441 A1C17
534 8.150234425130433 C18A2
848 9.758705732205739 A6C19
767 8.559836671634821 A8C20
691 9.531954837915945 C20A14
1702 7.390747488054901 A12C6
1701 7.390747488054901 A12C5
1128 6.613589303238096 C6A1
678 5.875092634078644 A1C8
2405 4.71413568236452 C11A2
1447 5.227262769583056 A12C11
1971 4.180705795934902 A13C11
2561 4.781254162447751 C12A14
1561 4.781254162447751 C12A15
1828 4.244708068743075 C9A15
2457 3.9516248855209364 A13C6
2456 3.9516248855209364 A13C5
2452 3.9516248855209364 A13C1
2453 3.9516248855209364 A13C2
2454 3.9516248855209364 A13C3
2455 3.9516248855209364 A13C4
903 1.9985680105202472 A15C4
2005 1.4703916248561155 C8A17
26763 0.0021751448404729776 A20C12
26263 0.0021751998404729777 A20C13
26263 0.0021751998404729777 A20C14
400 1.3184181930512 A16C20
218 2.108162787877811 C20A7
4401 0.2349201160973148 C13A9
3863 0.441676815121813 C10A11
2299 1.7603462260850882 C5A10
2967 0.6116821020004531 A7C5
611 0.3391514125803676 C5A1
61 0.3391514125803676 C5A2
2296 2.2407494942336643 A2C3
