Número de averías: 18
Distancia solucion: 384.0
Recorrido: 
786 9.586435667234719 C19A4
1110 9.026745914638202 A18C17
2050 8.759687589751193 C13A17
1985 9.84431659510618 C9A18
2438 9.87614599911442 A18C5
2018 9.264755869827704 A7C4
1959 5.5757852640616195 C1A7
562 5.842928504893735 C10A9
2184 5.352940357666438 A17C12
19 5.042259549176634 C13A16
1561 5.209898306751728 A3C8
114 5.173324555333951 A2C6
1158 1.6362718340351743 C16A3
161 0.7126722229159778 C14A9
66 2.4138676512831934 C11A18
1833 1.2629550239747673 C6A20
1586 1.9224653129748281 C4A19
2043 1.1090277412708434 A7C3
